Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2091504,CHOLERA_0000000001,COUNTRY,MWI,YEAR,AFR,Africa,,1990,,,,,,,,13457,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
2091612,CHOLERA_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,,2006,,,,,,,,1668,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2099326,CHOLERA_0000000001,COUNTRY,IDN,YEAR,WPR,Western Pacific,,1987,,,,,,,,659,,,,,2013-06-11T14:04:28+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
2101416,CHOLERA_0000000001,COUNTRY,PER,YEAR,AMR,Americas,,1993,,,,,,,,72404,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
2113974,CHOLERA_0000000001,COUNTRY,GMB,YEAR,AFR,Africa,,2005,,,,,,,,214,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2119276,CHOLERA_0000000001,COUNTRY,IND,YEAR,SEAR,South-East Asia,,1971,,,,,,,,71386,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
2119308,CHOLERA_0000000001,COUNTRY,RUS,YEAR,EUR,Europe,,1996,,,,,,,,4,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2120692,CHOLERA_0000000001,COUNTRY,GHA,YEAR,AFR,Africa,,1972,,,,,,,,625,,,,,2013-06-11T14:04:28+02:00,1972,1972-01-01T00:00:00+01:00,1972-12-31T00:00:00+01:00
2122756,CHOLERA_0000000001,COUNTRY,LAO,YEAR,WPR,Western Pacific,,2010,,,,,,,,237,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2143053,CHOLERA_0000000001,COUNTRY,FIN,YEAR,EUR,Europe,,1998,,,,,,,,1,,,,1 of 1 reported cases are imported.,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2143829,CHOLERA_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,2001,,,,,,,,4499,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2144747,CHOLERA_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,,2008,,,,,,,,60055,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2146281,CHOLERA_0000000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,,1966,,,,,,,,62,,,,,2013-06-11T14:04:28+02:00,1966,1966-01-01T00:00:00+01:00,1966-12-31T00:00:00+01:00
2150260,CHOLERA_0000000001,COUNTRY,COD,YEAR,AFR,Africa,,2006,,,,,,,,20642,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2151250,CHOLERA_0000000001,COUNTRY,GNB,YEAR,AFR,Africa,,2009,,,,,,,,5,,,,,2013-06-11T14:04:28+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2151926,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1999,,,,,,,,40,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2152044,CHOLERA_0000000001,COUNTRY,CMR,YEAR,AFR,Africa,,2008,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2152367,CHOLERA_0000000001,COUNTRY,USA,YEAR,AMR,Americas,,2008,,,,,,,,5,,,,4 of 5 reported cases are imported.,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2161316,CHOLERA_0000000001,COUNTRY,ECU,YEAR,AMR,Americas,,1994,,,,,,,,1785,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2165354,CHOLERA_0000000001,COUNTRY,VNM,YEAR,WPR,Western Pacific,,1990,,,,,,,,358,,,,,2013-06-11T14:04:28+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
2166836,CHOLERA_0000000001,COUNTRY,LBR,YEAR,AFR,Africa,,1999,,,,,,,,215,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2166905,CHOLERA_0000000001,COUNTRY,HND,YEAR,AMR,Americas,,1999,,,,,,,,56,,,,,2013-06-11T14:04:28+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2169295,CHOLERA_0000000001,COUNTRY,FRA,YEAR,EUR,Europe,,1971,,,,,,,,3,,,,,2013-06-11T14:04:28+02:00,1971,1971-01-01T00:00:00+01:00,1971-12-31T00:00:00+01:00
2173553,CHOLERA_0000000001,COUNTRY,MUS,YEAR,AFR,Africa,,2006,,,,,,,,0,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2177871,CHOLERA_0000000001,COUNTRY,TCD,YEAR,AFR,Africa,,2011,,,,,,,,17267,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2188293,CHOLERA_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,,1979,,,,,,,,502,,,,,2013-06-11T14:04:28+02:00,1979,1979-01-01T00:00:00+01:00,1979-12-31T00:00:00+01:00
2199531,CHOLERA_0000000001,COUNTRY,BEL,YEAR,EUR,Europe,,1980,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
2212360,CHOLERA_0000000001,COUNTRY,NGA,YEAR,AFR,Africa,,2013,,,,,,,,6600,6600.0,,,,2014-08-29T13:48:46+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2213337,CHOLERA_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,,1986,,,,,,,,2,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
2213690,CHOLERA_0000000001,COUNTRY,TKM,YEAR,EUR,Europe,,1994,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2215317,CHOLERA_0000000001,COUNTRY,UGA,YEAR,AFR,Africa,,2005,,,,,,,,4924,,,,,2013-06-11T14:04:28+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2219771,CHOLERA_0000000001,COUNTRY,AFG,YEAR,EMR,Eastern Mediterranean,,2000,,,,,,,,4330,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2221263,CHOLERA_0000000001,COUNTRY,NIC,YEAR,AMR,Americas,,1995,,,,,,,,8825,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2221898,CHOLERA_0000000001,COUNTRY,BDI,YEAR,AFR,Africa,,1995,,,,,,,,2297,,,,,2013-06-11T14:04:28+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
2224021,CHOLERA_0000000001,COUNTRY,MEX,YEAR,AMR,Americas,,1998,,,,,,,,71,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2225948,CHOLERA_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,,2016,,,,,,,,10,10.0,,,,2017-08-23T09:37:22+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2228739,CHOLERA_0000000001,COUNTRY,HTI,YEAR,AMR,Americas,,2013,,,,,,,,58809,58809.0,,,,2014-08-29T13:48:37+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2232736,CHOLERA_0000000001,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,1978,,,,,,,,48,,,,,2013-06-11T14:04:28+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
2246899,CHOLERA_0000000001,COUNTRY,ITA,YEAR,EUR,Europe,,2007,,,,,,,,1,,,,1 of 1 reported cases are imported.,2013-06-11T14:04:28+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2247294,CHOLERA_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,,2011,,,,,,,,755,,,,,2013-06-11T14:04:28+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2250348,CHOLERA_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,,2000,,,,,,,,124,,,,,2013-06-11T14:04:28+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
2251248,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,1993,,,,,,,,724,,,,,2013-06-11T14:04:28+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
2251886,CHOLERA_0000000001,COUNTRY,JPN,YEAR,WPR,Western Pacific,,1986,,,,,,,,26,,,,,2013-06-11T14:04:28+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
2258162,CHOLERA_0000000001,COUNTRY,AGO,YEAR,AFR,Africa,,2010,,,,,,,,1484,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2258744,CHOLERA_0000000001,COUNTRY,MOZ,YEAR,AFR,Africa,,2014,,,,,,,,480,480.0,,,,2015-10-02T09:47:52+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2260153,CHOLERA_0000000001,COUNTRY,SGP,YEAR,WPR,Western Pacific,,2001,,,,,,,,8,,,,,2013-06-11T14:04:28+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2262269,CHOLERA_0000000001,COUNTRY,SWE,YEAR,EUR,Europe,,1996,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2263365,CHOLERA_0000000001,COUNTRY,KEN,YEAR,AFR,Africa,,2006,,,,,,,,870,,,,,2013-06-11T14:04:28+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2267364,CHOLERA_0000000001,COUNTRY,SEN,YEAR,AFR,Africa,,1996,,,,,,,,16107,,,,,2013-06-11T14:04:28+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2268546,CHOLERA_0000000001,COUNTRY,SLV,YEAR,AMR,Americas,,1998,,,,,,,,8,,,,,2013-06-11T14:04:28+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2280867,CHOLERA_0000000001,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,1976,,,,,,,,1519,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
2285816,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,2009,,,,,,,,5,,,,,2013-06-11T14:04:28+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
2287463,CHOLERA_0000000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,,1964,,,,,,,,3333,,,,,2013-06-11T14:04:28+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
2288688,CHOLERA_0000000001,COUNTRY,MOZ,YEAR,AFR,Africa,,1997,,,,,,,,8739,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
2293356,CHOLERA_0000000001,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,1967,,,,,,,,221,,,,,2013-06-11T14:04:28+02:00,1967,1967-01-01T00:00:00+01:00,1967-12-31T00:00:00+01:00
2294786,CHOLERA_0000000001,COUNTRY,MLI,YEAR,AFR,Africa,,2008,,,,,,,,153,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2296646,CHOLERA_0000000001,COUNTRY,NAM,YEAR,AFR,Africa,,2008,,,,,,,,3496,,,,,2013-06-11T14:04:28+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2301099,CHOLERA_0000000001,COUNTRY,USA,YEAR,AMR,Americas,,1991,,,,,,,,26,,,,,2013-06-11T14:04:28+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
